HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"59 Vo Thi Sau, Phu Hoi Ward, Hue 530000 Vietnam",27,93,111,"English, French, Vietnamese",Thanh Lich Hue Hotel,$45 ,$24 ,$24 - $45,"Which popular attractions are close to Thanh Lich Hue Hotel?, ,What are some of the property amenities at Thanh Lich Hue Hotel?, ,Which room amenities are available at Thanh Lich Hue Hotel?, ,What food & drink options are available at Thanh Lich Hue Hotel?, ,Is parking available at Thanh Lich Hue Hotel?, ,What are some restaurants close to Thanh Lich Hue Hotel?, ,Are there opportunities to exercise at Thanh Lich Hue Hotel?, ,Does Thanh Lich Hue Hotel have an airport shuttle?, ,Does Thanh Lich Hue Hotel have airport transportation?, ,Are any cleaning services offered at Thanh Lich Hue Hotel?, ,Which languages are spoken by the staff at Thanh Lich Hue Hotel?, ",37,573,#9 of 138 hotels in Hue,4.5,3,145,Excellent,50,"City View,Family",27,https://www.tripadvisor.com/Hotel_Review-g293926-d7388707-Reviews-Thanh_Lich_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html
"49 Le Loi Street, Hue 530000 Vietnam",26,94,382,Vietnamese,Century Riverside Hue Hotel,$57 ,$33 ,$33 - $57,"Which popular attractions are close to Century Riverside Hue Hotel?, ,What are some of the property amenities at Century Riverside Hue Hotel?, ,Which room amenities are available at Century Riverside Hue Hotel?, ,What food & drink options are available at Century Riverside Hue Hotel?, ,Is parking available at Century Riverside Hue Hotel?, ,What are some restaurants close to Century Riverside Hue Hotel?, ,Are there opportunities to exercise at Century Riverside Hue Hotel?, ,Does Century Riverside Hue Hotel have airport transportation?, ,Is Century Riverside Hue Hotel located near the city center?, ,Are any cleaning services offered at Century Riverside Hue Hotel?, ,Does Century Riverside Hue Hotel offer any business services?, ",73,604,#49 of 138 hotels in Hue,3.5,4,134,Very good,125,"Great View,River View",61,https://www.tripadvisor.com/Hotel_Review-g293926-d299590-Reviews-Century_Riverside_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html
"51 Le Loi Street Phu Hoi Ward, Hue Vietnam",26,94,390,"English, Japanese, Vietnamese",Huong Giang Hotel Resort & Spa,$62 ,$41 ,$41 - $62,"Which popular attractions are close to Huong Giang Hotel Resort & Spa?, ,What are some of the property amenities at Huong Giang Hotel Resort & Spa?, ,Which room amenities are available at Huong Giang Hotel Resort & Spa?, ,What food & drink options are available at Huong Giang Hotel Resort & Spa?, ,Is parking available at Huong Giang Hotel Resort & Spa?, ,What are some restaurants close to Huong Giang Hotel Resort & Spa?, ,Are there opportunities to exercise at Huong Giang Hotel Resort & Spa?, ,Does Huong Giang Hotel Resort & Spa have airport transportation?, ,Are any cleaning services offered at Huong Giang Hotel Resort & Spa?, ,Does Huong Giang Hotel Resort & Spa offer any business services?, ,Which languages are spoken by the staff at Huong Giang Hotel Resort & Spa?, ",161,618,#53 of 138 hotels in Hue,3.5,4,132,Very good,165,"Mid-range,Great View",59,https://www.tripadvisor.com/Hotel_Review-g293926-d302776-Reviews-Huong_Giang_Hotel_Resort_Spa-Hue_Thua_Thien_Hue_Province.html
"35 /12 Chu Van An Street 35/12 Chu Van An, Hue Vietnam",27,92,161,"English, Vietnamese",Hong Thien Ruby Hotel,$18 ,$12 ,$12 - $18,"Which popular attractions are close to Hong Thien Ruby Hotel?, ,What are some of the property amenities at Hong Thien Ruby Hotel?, ,Which room amenities are available at Hong Thien Ruby Hotel?, ,What are some restaurants close to Hong Thien Ruby Hotel?, ,Are any cleaning services offered at Hong Thien Ruby Hotel?, ,Which languages are spoken by the staff at Hong Thien Ruby Hotel?, ,Are there any historical sites close to Hong Thien Ruby Hotel?, ",50,634,#3 of 58 small hotels in Hue,5,3,160,Excellent,15,Family,26,https://www.tripadvisor.com/Hotel_Review-g293926-d4444486-Reviews-Hong_Thien_Ruby_Hotel-Hue_Thua_Thien_Hue_Province.html
"8/14 Nguyen Cong Tru, Hue Vietnam",26,94,104,N/A,Hue Holiday Hotel,N/A,N/A,N/A,"Which popular attractions are close to Hue Holiday Hotel?, ,What are some of the property amenities at Hue Holiday Hotel?, ,Which room amenities are available at Hue Holiday Hotel?, ,What food & drink options are available at Hue Holiday Hotel?, ,Is parking available at Hue Holiday Hotel?, ,What are some restaurants close to Hue Holiday Hotel?, ,Does Hue Holiday Hotel have airport transportation?, ,Are any cleaning services offered at Hue Holiday Hotel?, ,Are pets allowed at Hue Holiday Hotel?, ,Are there any historical sites close to Hue Holiday Hotel?, ",46,642,#18 of 138 hotels in Hue,4.5,2,136,Excellent,22,N/A,2,https://www.tripadvisor.com/Hotel_Review-g293926-d729358-Reviews-Hue_Holiday_Hotel-Hue_Thua_Thien_Hue_Province.html
"38 Le Loi Street, Hue Vietnam",30,94,400,Vietnamese,Muong Thanh Holiday Hue Hotel,$65 ,$45 ,$45 - $65,"Which popular attractions are close to Muong Thanh Holiday Hue Hotel?, ,What are some of the property amenities at Muong Thanh Holiday Hue Hotel?, ,Which room amenities are available at Muong Thanh Holiday Hue Hotel?, ,What food & drink options are available at Muong Thanh Holiday Hue Hotel?, ,Is parking available at Muong Thanh Holiday Hue Hotel?, ,What are some restaurants close to Muong Thanh Holiday Hue Hotel?, ,Are there opportunities to exercise at Muong Thanh Holiday Hue Hotel?, ,Does Muong Thanh Holiday Hue Hotel have airport transportation?, ,Is Muong Thanh Holiday Hue Hotel located near the city center?, ,Are any cleaning services offered at Muong Thanh Holiday Hue Hotel?, ,Does Muong Thanh Holiday Hue Hotel offer any business services?, ",96,672,#29 of 138 hotels in Hue,4,4,170,Very good,110,"River View,Great View",28,https://www.tripadvisor.com/Hotel_Review-g293926-d1488735-Reviews-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html
"17 Pham Ngu Lao Street, Hue 84 Vietnam",27,94,277,"English, French, Vietnamese",Asia Hotel,$77 ,$36 ,$36 - $77,"Which popular attractions are close to Asia Hotel?, ,What are some of the property amenities at Asia Hotel?, ,Which room amenities are available at Asia Hotel?, ,What food & drink options are available at Asia Hotel?, ,Is parking available at Asia Hotel?, ,What are some restaurants close to Asia Hotel?, ,Are there opportunities to exercise at Asia Hotel?, ,Does Asia Hotel have airport transportation?, ,Are any cleaning services offered at Asia Hotel?, ,Does Asia Hotel offer any business services?, ,Which languages are spoken by the staff at Asia Hotel?, ",103,758,#50 of 209 hotels in Hue,4,3,176,Very good,87,"Mid-range,Centrally Located",26,https://www.tripadvisor.com/Hotel_Review-g293926-d583457-Reviews-Asia_Hotel-Hue_Thua_Thien_Hue_Province.html
"35 / 6 Chu Van An, Hue 084 Vietnam",27,92,194,N/A,Hong Thien Hotel 1,$103 ,$14 ,$14 - $103,"Which popular attractions are close to Hong Thien Hotel 1?, ,What are some of the property amenities at Hong Thien Hotel 1?, ,Which room amenities are available at Hong Thien Hotel 1?, ,What food & drink options are available at Hong Thien Hotel 1?, ,What are some restaurants close to Hong Thien Hotel 1?, ,Are there opportunities to exercise at Hong Thien Hotel 1?, ,Does Hong Thien Hotel 1 have airport transportation?, ,Are any cleaning services offered at Hong Thien Hotel 1?, ,Are there any historical sites close to Hong Thien Hotel 1?, ,Is Hong Thien Hotel 1 accessible?, ",12,820,#40 of 209 hotels in Hue,4.5,3,162,Excellent,18,"Family,Quiet",10,https://www.tripadvisor.com/Hotel_Review-g293926-d1959306-Reviews-Hong_Thien_Hotel_1-Hue_Thua_Thien_Hue_Province.html
"17/1 Ben Nghe Street, Hue Vietnam",25,93,423,"English, Vietnamese",The Scarlett Boutique Hotel,$64 ,$35 ,$35 - $64,"Which popular attractions are close to The Scarlett Boutique Hotel?, ,What are some of the property amenities at The Scarlett Boutique Hotel?, ,Which room amenities are available at The Scarlett Boutique Hotel?, ,What food & drink options are available at The Scarlett Boutique Hotel?, ,What are some restaurants close to The Scarlett Boutique Hotel?, ,Does The Scarlett Boutique Hotel have airport transportation?, ,Are any cleaning services offered at The Scarlett Boutique Hotel?, ,Which languages are spoken by the staff at The Scarlett Boutique Hotel?, ,Are there any historical sites close to The Scarlett Boutique Hotel?, ,Is The Scarlett Boutique Hotel accessible?, ",61,845,#1 of 3 boutique hotels in Hue,5,3,183,Excellent,17,"Boutique,Trendy",18,https://www.tripadvisor.com/Hotel_Review-g293926-d10717602-Reviews-The_Scarlett_Boutique_Hotel-Hue_Thua_Thien_Hue_Province.html
"Thuan An Beach, Thuan An 530000 Vietnam",0,0,1086,Vietnamese,Lapochine Beach Resort,$106 ,$71 ,$71 - $106,"Which popular attractions are close to Lapochine Beach Resort?, ,What are some of the property amenities at Lapochine Beach Resort?, ,Which room amenities are available at Lapochine Beach Resort?, ,What food & drink options are available at Lapochine Beach Resort?, ,Is parking available at Lapochine Beach Resort?, ,What are some restaurants close to Lapochine Beach Resort?, ,Are there opportunities to exercise at Lapochine Beach Resort?, ,Does Lapochine Beach Resort have airport transportation?, ,Are any cleaning services offered at Lapochine Beach Resort?, ,Does Lapochine Beach Resort offer any business services?, ,Are there any historical sites close to Lapochine Beach Resort?, ",459,848,#1 of 2 hotels in Thuan An,4.5,5,0,Excellent,78,Quiet,138,https://www.tripadvisor.com/Hotel_Review-g12293805-d1935361-Reviews-Lapochine_Beach_Resort-Thuan_An_Thua_Thien_Hue_Province.html
"6/9 Lane 7 Nguyen Cong Tru Street, Hue 47000 Vietnam",25,92,193,Vietnamese,Hue Four Seasons Hotel,$16 ,$13 ,$13 - $16,"Which popular attractions are close to Hue Four Seasons Hotel?, ,What are some of the property amenities at Hue Four Seasons Hotel?, ,Which room amenities are available at Hue Four Seasons Hotel?, ,What food & drink options are available at Hue Four Seasons Hotel?, ,What are some restaurants close to Hue Four Seasons Hotel?, ,Does Hue Four Seasons Hotel have an airport shuttle?, ,Does Hue Four Seasons Hotel have airport transportation?, ,Are any cleaning services offered at Hue Four Seasons Hotel?, ,Are there any historical sites close to Hue Four Seasons Hotel?, ",69,864,#1 of 58 small hotels in Hue,5,2.5,133,Excellent,25,"Family,Charming",16,https://www.tripadvisor.com/Hotel_Review-g293926-d5498733-Reviews-Hue_Four_Seasons_Hotel-Hue_Thua_Thien_Hue_Province.html
"Khai Dinh An Tay Ward, Hue 530000 Vietnam",0,0,27,"English, Vietnamese",aNhill boutique,N/A,N/A,N/A,"Which popular attractions are close to aNhill boutique?, ,What are some of the property amenities at aNhill boutique?, ,Which room amenities are available at aNhill boutique?, ,What food & drink options are available at aNhill boutique?, ,Is parking available at aNhill boutique?, ,What are some restaurants close to aNhill boutique?, ,Are there opportunities to exercise at aNhill boutique?, ,Does aNhill boutique have airport transportation?, ,Does aNhill boutique offer any business services?, ,Which languages are spoken by the staff at aNhill boutique?, ",15,9,#83 of 209 hotels in Hue,5,N/A,0,Excellent,16,Business,5,https://www.tripadvisor.com/Hotel_Review-g293926-d22974817-Reviews-ANhill_boutique-Hue_Thua_Thien_Hue_Province.html
"163 Nguyen Lo Trach, Hue 530000 Vietnam",0,0,1,N/A,T'Garden Homestay,N/A,N/A,N/A,"Which popular attractions are close to T'Garden Homestay?, ,What are some of the property amenities at T'Garden Homestay?, ,Which room amenities are available at T'Garden Homestay?, ,What food & drink options are available at T'Garden Homestay?, ,Is parking available at T'Garden Homestay?, ,What are some restaurants close to T'Garden Homestay?, ,Does T'Garden Homestay have airport transportation?, ,Are any cleaning services offered at T'Garden Homestay?, ",41,1,#24 of 31 guest houses in Hue,5,2,0,Excellent,5,Quaint,5,https://www.tripadvisor.com/Hotel_Review-g293926-d15565470-Reviews-T_Garden_Homestay-Hue_Thua_Thien_Hue_Province.html
"78/2 Huyen Tran Cong Chua Thuy Bieu ward, Hue 730000 Vietnam",0,0,N/A,"English, Vietnamese",Mo Rua Garden,N/A,N/A,N/A,"Which popular attractions are close to Mo Rua Garden?, ,What are some of the property amenities at Mo Rua Garden?, ,What food & drink options are available at Mo Rua Garden?, ,Is parking available at Mo Rua Garden?, ,What are some restaurants close to Mo Rua Garden?, ,Does Mo Rua Garden have an airport shuttle?, ,Does Mo Rua Garden have airport transportation?, ,Are any cleaning services offered at Mo Rua Garden?, ,Are pets allowed at Mo Rua Garden?, ,Which languages are spoken by the staff at Mo Rua Garden?, ",N/A,1,#20 of 34 lodges in Hue,5,N/A,0,Excellent,5,Quaint,0,https://www.tripadvisor.com/Hotel_Review-g293926-d12905964-Reviews-Mo_Rua_Garden-Hue_Thua_Thien_Hue_Province.html
"82 Le Loi 2nd Floor, Hue 530000 Vietnam",26,94,18,N/A,Ceci Station Hostel Hue,N/A,N/A,N/A,"Which popular attractions are close to Ceci Station Hostel Hue?, ,What are some of the property amenities at Ceci Station Hostel Hue?, ,What food & drink options are available at Ceci Station Hostel Hue?, ,What are some restaurants close to Ceci Station Hostel Hue?, ,Does Ceci Station Hostel Hue have an airport shuttle?, ,Does Ceci Station Hostel Hue have airport transportation?, ",2,1,#63 of 75 hostels in Hue,5,N/A,138,Excellent,2,N/A,1,https://www.tripadvisor.com/Hotel_Review-g293926-d14120575-Reviews-Ceci_Station_Hostel_Hue-Hue_Thua_Thien_Hue_Province.html
"28B-30, Lane 42, Nguyen Cong Tru Str, Hue Vietnam",26,92,13,"English, Japanese, Vietnamese",Hue Plumeria Hostel & Backpackers,N/A,N/A,N/A,"Which popular attractions are close to Hue Plumeria Hostel & Backpackers?, ,What are some of the property amenities at Hue Plumeria Hostel & Backpackers?, ,Which room amenities are available at Hue Plumeria Hostel & Backpackers?, ,What food & drink options are available at Hue Plumeria Hostel & Backpackers?, ,Is parking available at Hue Plumeria Hostel & Backpackers?, ,What are some restaurants close to Hue Plumeria Hostel & Backpackers?, ,Does Hue Plumeria Hostel & Backpackers have airport transportation?, ,Are pets allowed at Hue Plumeria Hostel & Backpackers?, ,Which languages are spoken by the staff at Hue Plumeria Hostel & Backpackers?, ",7,1,#65 of 75 hostels in Hue,5,N/A,139,Excellent,0,N/A,7,https://www.tripadvisor.com/Hotel_Review-g293926-d12619543-Reviews-Hue_Plumeria_Hostel_Backpackers-Hue_Thua_Thien_Hue_Province.html
"20 Phu Mong, Hue Vietnam",6,54,N/A,"English, Vietnamese",Phu Mong Garden House,N/A,N/A,N/A,"Which popular attractions are close to Phu Mong Garden House?, ,What are some of the property amenities at Phu Mong Garden House?, ,What food & drink options are available at Phu Mong Garden House?, ,Is parking available at Phu Mong Garden House?, ,What are some restaurants close to Phu Mong Garden House?, ,Does Phu Mong Garden House have airport transportation?, ,Which languages are spoken by the staff at Phu Mong Garden House?, ",N/A,1,#61 of 75 hostels in Hue,5,N/A,23,Excellent,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d13479567-Reviews-Phu_Mong_Garden_House-Hue_Thua_Thien_Hue_Province.html
"6/8 Ha Noi, Hue 530000 Vietnam",13,97,N/A,N/A,Madame Ha House,N/A,N/A,N/A,"Which popular attractions are close to Madame Ha House?, ,What are some of the property amenities at Madame Ha House?, ,What food & drink options are available at Madame Ha House?, ,What are some restaurants close to Madame Ha House?, ,Does Madame Ha House have an airport shuttle?, ,Does Madame Ha House have airport transportation?, ,Is Madame Ha House located near the city center?, ,Are pets allowed at Madame Ha House?, ",N/A,3,#50 of 75 hostels in Hue,5,N/A,97,Excellent,5,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d13326332-Reviews-Madame_Ha_House-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Hoan Kiem Hotel,N/A,N/A,N/A,"What are some of the property amenities at Hoan Kiem Hotel?, ,Which room amenities are available at Hoan Kiem Hotel?, ,What food & drink options are available at Hoan Kiem Hotel?, ,Are there opportunities to exercise at Hoan Kiem Hotel?, ",N/A,1,#117 of 209 hotels in Hue,5,N/A,0,Excellent,125,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d1625928-Reviews-Hoan_Kiem_Hotel-Hue_Thua_Thien_Hue_Province.html
"Nha D1, Du_ng s_ 4, The Manor Crown, 62 T_ H_u, Hue 53000 Vietnam",9,50,N/A,N/A,Clover Home Hue,N/A,N/A,N/A,"Which popular attractions are close to Clover Home Hue?, ,What are some restaurants close to Clover Home Hue?, ",N/A,1,#3 of 4 B&Bs in Hue,5,N/A,47,Excellent,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21014101-Reviews-Clover_Home_Hue-Hue_Thua_Thien_Hue_Province.html
"29 Tran Quang Khai St., Hue Vietnam",18,95,365,"English, Vietnamese",Alba Spa Hotel,$72 ,$34 ,$34 - $72,"Which popular attractions are close to Alba Spa Hotel?, ,What are some of the property amenities at Alba Spa Hotel?, ,Which room amenities are available at Alba Spa Hotel?, ,What food & drink options are available at Alba Spa Hotel?, ,Is parking available at Alba Spa Hotel?, ,What are some restaurants close to Alba Spa Hotel?, ,Are there opportunities to exercise at Alba Spa Hotel?, ,Does Alba Spa Hotel have airport transportation?, ,Are any cleaning services offered at Alba Spa Hotel?, ,Does Alba Spa Hotel offer any business services?, ,Which languages are spoken by the staff at Alba Spa Hotel?, ",117,976,#26 of 209 hotels in Hue,4.5,3,123,Excellent,58,"Modern,Mid-range",42,https://www.tripadvisor.com/Hotel_Review-g293926-d625203-Reviews-Alba_Spa_Hotel-Hue_Thua_Thien_Hue_Province.html
"55/48 Ngo Quyen, Hue Vietnam",5,87,N/A,"English, Vietnamese",Cat An Hostel,N/A,N/A,N/A,"Which popular attractions are close to Cat An Hostel?, ,What are some of the property amenities at Cat An Hostel?, ,Which room amenities are available at Cat An Hostel?, ,What food & drink options are available at Cat An Hostel?, ,Is parking available at Cat An Hostel?, ,What are some restaurants close to Cat An Hostel?, ,Are there opportunities to exercise at Cat An Hostel?, ,Does Cat An Hostel have an airport shuttle?, ,Does Cat An Hostel have airport transportation?, ,Is Cat An Hostel located near the city center?, ",N/A,0,N/A,0,2,33,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d7646888-Reviews-Cat_An_Hostel-Hue_Thua_Thien_Hue_Province.html
"32 Truong Chinh Street, Xuan Phu ward, Hue Vietnam",6,73,N/A,Vietnamese,Citadel Hotel,N/A,N/A,N/A,"Which popular attractions are close to Citadel Hotel?, ,What are some of the property amenities at Citadel Hotel?, ,Which room amenities are available at Citadel Hotel?, ,What food & drink options are available at Citadel Hotel?, ,Is parking available at Citadel Hotel?, ,What are some restaurants close to Citadel Hotel?, ,Does Citadel Hotel have airport transportation?, ,Are pets allowed at Citadel Hotel?, ,Are there any historical sites close to Citadel Hotel?, ",N/A,1,#35 of 58 small hotels in Hue,5,2,23,Excellent,21,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d2698947-Reviews-Citadel_Hotel-Hue_Thua_Thien_Hue_Province.html
